STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
4976,MARINE,ODISHA,29.5,29.5,6.6,6.6,8.2,8.2,-,-,1,1,-,-,2,2,-,-,-,-
4977,MARINE,ODISHA,30.3,30.3,6.6,6.6,8.3,8.3,-,-,1,1,-,-,11,11,-,-,-,-
4978,MARINE,ODISHA,30.5,30.5,6.2,6.2,9,9,-,-,1,1,-,-,2,2,-,-,-,-
4979,MARINE,ODISHA,29.8,30.7,6.3,7.6,8.1,8.3,-,-,1,1.6,-,-,2,2,-,-,-,-
4980,MARINE,ODISHA,29.3,29.9,6.5,7.1,8.2,8.4,-,-,1,2.1,-,-,2,2,-,-,-,-
4981,MARINE,ODISHA,29.7,29.9,6.1,7.1,8,8.4,-,-,1,1,-,-,2,2,-,-,-,-
4982,MARINE,ODISHA,30.1,30.1,6.5,6.5,8.1,8.1,-,-,1,1,-,-,2,2,-,-,-,-
4983,MARINE,ODISHA,29.5,29.5,6.5,6.5,8.5,8.5,-,-,1,1,-,-,2,2,-,-,-,-
4984,MARINE,ODISHA,29.4,29.4,6.1,6.1,9,9,-,-,1,1,-,-,2,2,-,-,-,-
4985,MARINE,ODISHA,30.1,30.1,6.6,6.6,8.9,8.9,-,-,1.6,1.6,-,-,2,2,-,-,-,-
4986,MARINE,ODISHA,29.5,29.5,6,6,8,8,-,-,1.4,1.4,-,-,2,2,-,-,-,-
4987,MARINE,ODISHA,29,31.2,6.6,7.2,8,8.4,-,-,1,1.1,-,-,2,14,-,-,-,-
4988,MARINE,ODISHA,29.5,29.5,5.2,5.2,8.2,8.2,-,-,1,1,-,-,2,2,-,-,-,-
